InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SessionID,Stage,Year,Month
View_6268,P00090,Black Water Bottle XXL,3,2023-02-15,92.9,C00001,UK,S20230215_C00001_5065,View,2023,2
INV10185,P00045,Pink Leather Wallet M,2,2023-05-07,91.33,C00001,UK,S20230507_C00001_4000,Purchase,2023,5
Browse_4994,P00033,Purple Summer Dress XL,5,2022-02-28,114.0,C00002,France,S20220228_C00002_8952,Browse,2022,2
View_199,P00057,White Backpack L,3,2022-03-11,165.97,C00002,France,S20220311_C00002_1436,View,2022,3
View_10,P00079,Grey Winter Jacket L,4,2022-04-27,75.3,C00002,France,S20220427_C00002_3183,View,2022,4
INV10140,P00034,Red Cotton Socks XS,1,2022-05-29,18.69,C00002,France,S20220529_C00002_6998,Purchase,2022,5
Browse_6328,P00045,Pink Leather Wallet M,4,2022-06-14,91.33,C00002,France,S20220614_C00002_4548,Browse,2022,6
View_4634,P00055,Yellow Premium T-shirt M,3,2022-06-29,143.15,C00002,France,S20220629_C00002_6722,View,2022,6
Browse_4774,P00033,Purple Summer Dress XL,2,2022-07-30,114.0,C00002,France,S20220730_C00002_5084,Browse,2022,7
Browse_141,P00032,Black Running Shoes XL,2,2022-08-03,182.74,C00002,France,S20220803_C00002_2926,Browse,2022,8
INV10154,P00027,Grey Protein Powder M,3,2022-08-09,13.74,C00002,France,S20220809_C00002_1429,Purchase,2022,8
Browse_1864,P00019,Orange Classic Jeans XXL,2,2022-09-12,31.03,C00002,France,S20220912_C00002_5411,Browse,2022,9
INV10223,P00003,Blue Classic Jeans M,3,2022-11-09,79.19,C00002,France,S20221109_C00002_7899,Purchase,2022,11
View_3274,P00016,Purple Sunglasses M,4,2022-11-24,71.99,C00002,France,S20221124_C00002_9253,View,2022,11
Browse_1579,P00051,Yellow Water Bottle XXL,4,2022-12-01,165.82,C00002,France,S20221201_C00002_4274,Browse,2022,12
View_4817,P00060,Purple Smart Watch M,3,2023-02-11,161.73,C00002,France,S20230211_C00002_9233,View,2023,2
View_2844,P00095,Blue Yoga Mat XS,2,2023-02-14,59.95,C00002,France,S20230214_C00002_4791,View,2023,2
View_9412,P00004,Orange Protein Powder XL,3,2023-03-06,106.22,C00002,France,S20230306_C00002_4143,View,2023,3
View_2662,P00019,Orange Classic Jeans XXL,1,2023-06-10,31.03,C00002,France,S20230610_C00002_1279,View,2023,6
View_9309,P00075,Purple Water Bottle S,3,2022-09-21,116.62,C00003,France,S20220921_C00003_3819,View,2022,9
Checkout_8525,P00026,Blue Classic Jeans One Size,3,2022-09-26,138.12,C00003,France,S20220926_C00003_6954,Checkout,2022,9
Checkout_5496,P00096,Yellow Backpack One Size,4,2022-10-12,152.36,C00003,France,S20221012_C00003_3110,Checkout,2022,10
Browse_7294,P00075,Purple Water Bottle S,3,2022-10-21,116.62,C00003,France,S20221021_C00003_8804,Browse,2022,10
View_7978,P00046,Red Protein Powder L,5,2022-10-21,52.77,C00003,France,S20221021_C00003_3819,View,2022,10
Cart_3009,P00090,Black Water Bottle XXL,2,2022-11-16,92.9,C00003,France,S20221116_C00003_7646,Cart,2022,11
View_1100,P00093,Purple Yoga Mat XXL,2,2022-11-17,182.72,C00003,France,S20221117_C00003_8850,View,2022,11
View_2882,P00096,Yellow Backpack One Size,3,2022-11-18,152.36,C00003,France,S20221118_C00003_5784,View,2022,11
View_8733,P00095,Blue Yoga Mat XS,3,2022-12-13,59.95,C00003,France,S20221213_C00003_2089,View,2022,12
View_6338,P00099,Grey Leather Wallet One Size,2,2022-12-16,135.12,C00003,France,S20221216_C00003_5757,View,2022,12
INV10331,P00017,Purple Wireless Earbuds XXL,3,2022-12-26,43.44,C00003,France,S20221226_C00003_8502,Purchase,2022,12
Browse_6682,P00099,Grey Leather Wallet One Size,3,2023-01-01,135.12,C00003,France,S20230101_C00003_5830,Browse,2023,1
Cart_5159,P00050,Yellow Water Bottle XS,5,2023-01-05,105.29,C00003,France,S20230105_C00003_7180,Cart,2023,1
Browse_450,P00014,Pink Classic Jeans L,5,2023-02-02,194.78,C00003,France,S20230202_C00003_5809,Browse,2023,2
View_7340,P00084,Grey Laptop Sleeve XS,2,2022-10-22,8.99,C00004,Spain,S20221022_C00004_3399,View,2022,10
Checkout_6498,P00027,Grey Protein Powder M,1,2022-11-03,13.74,C00004,Spain,S20221103_C00004_6979,Checkout,2022,11
Cart_6996,P00027,Grey Protein Powder M,1,2022-11-22,13.74,C00004,Spain,S20221122_C00004_2524,Cart,2022,11
View_4887,P00045,Pink Leather Wallet M,2,2023-02-13,91.33,C00004,Spain,S20230213_C00004_8295,View,2023,2
Browse_8220,P00024,White Winter Jacket XS,3,2023-05-09,189.66,C00004,Spain,S20230509_C00004_9182,Browse,2023,5
Browse_7967,P00055,Yellow Premium T-shirt M,5,2023-05-17,143.15,C00004,Spain,S20230517_C00004_9416,Browse,2023,5
Browse_4626,P00090,Black Water Bottle XXL,3,2023-05-22,92.9,C00004,Spain,S20230522_C00004_3467,Browse,2023,5
View_5998,P00006,Black Classic Jeans XS,4,2023-06-16,172.34,C00004,Spain,S20230616_C00004_5093,View,2023,6
Checkout_4134,P00073,Orange Protein Powder M,3,2023-06-22,62.78,C00004,Spain,S20230622_C00004_1800,Checkout,2023,6
Cart_2643,P00075,Purple Water Bottle S,1,2022-08-26,116.62,C00005,Germany,S20220826_C00005_6788,Cart,2022,8
Browse_9603,P00041,Green Water Bottle S,2,2022-08-31,159.28,C00005,Germany,S20220831_C00005_5843,Browse,2022,8
Browse_1493,P00051,Yellow Water Bottle XXL,4,2022-09-30,165.82,C00005,Germany,S20220930_C00005_5249,Browse,2022,9
Browse_4820,P00000,Black Protein Powder XXL,4,2022-10-17,188.5,C00005,Germany,S20221017_C00005_7281,Browse,2022,10
Browse_9796,P00006,Black Classic Jeans XS,3,2022-10-24,172.34,C00005,Germany,S20221024_C00005_3888,Browse,2022,10
Browse_5902,P00050,Yellow Water Bottle XS,2,2022-10-30,105.29,C00005,Germany,S20221030_C00005_2677,Browse,2022,10
Browse_6729,P00020,Grey Water Bottle S,3,2022-11-10,118.98,C00005,Germany,S20221110_C00005_7876,Browse,2022,11
Browse_6245,P00099,Grey Leather Wallet One Size,1,2022-12-27,135.12,C00005,Germany,S20221227_C00005_9895,Browse,2022,12
View_8879,P00043,Grey Laptop Sleeve XL,1,2023-02-23,8.26,C00005,Germany,S20230223_C00005_6443,View,2023,2
Browse_6023,P00083,Orange Laptop Sleeve L,4,2023-04-20,26.77,C00005,Germany,S20230420_C00005_6844,Browse,2023,4
Browse_3155,P00099,Grey Leather Wallet One Size,3,2023-04-24,135.12,C00005,Germany,S20230424_C00005_9355,Browse,2023,4
View_3769,P00003,Blue Classic Jeans M,5,2022-06-12,79.19,C00006,Canada,S20220612_C00006_5369,View,2022,6
Checkout_5213,P00064,Orange Cotton Socks XL,4,2022-06-16,71.6,C00006,Canada,S20220616_C00006_4636,Checkout,2022,6
Browse_2309,P00081,Pink Wireless Earbuds XS,4,2022-06-28,123.96,C00006,Canada,S20220628_C00006_1135,Browse,2022,6
Browse_1502,P00040,Grey Sunglasses One Size,4,2022-07-04,32.45,C00006,Canada,S20220704_C00006_9991,Browse,2022,7
Cart_7206,P00038,Red Cotton Socks L,4,2022-08-15,105.73,C00006,Canada,S20220815_C00006_4899,Cart,2022,8
Browse_6822,P00046,Red Protein Powder L,1,2022-08-26,52.77,C00006,Canada,S20220826_C00006_8700,Browse,2022,8
Browse_1981,P00012,Orange Running Shoes One Size,3,2022-08-31,45.43,C00006,Canada,S20220831_C00006_9910,Browse,2022,8
View_8817,P00020,Grey Water Bottle S,4,2023-02-04,118.98,C00006,Canada,S20230204_C00006_5279,View,2023,2
Browse_2296,P00011,Pink Yoga Mat XXL,2,2023-02-08,146.18,C00006,Canada,S20230208_C00006_6833,Browse,2023,2
Checkout_5391,P00046,Red Protein Powder L,5,2023-02-12,52.77,C00006,Canada,S20230212_C00006_8607,Checkout,2023,2
Cart_9807,P00016,Purple Sunglasses M,3,2023-02-15,71.99,C00006,Canada,S20230215_C00006_6455,Cart,2023,2
Browse_2527,P00002,White Summer Dress L,5,2023-03-27,33.9,C00006,Canada,S20230327_C00006_2090,Browse,2023,3
Browse_6532,P00041,Green Water Bottle S,3,2023-04-13,159.28,C00006,Canada,S20230413_C00006_6729,Browse,2023,4
View_1564,P00081,Pink Wireless Earbuds XS,4,2023-05-07,123.96,C00006,Canada,S20230507_C00006_9912,View,2023,5
Cart_1485,P00044,Pink Winter Jacket XS,2,2023-05-31,37.04,C00006,Canada,S20230531_C00006_7496,Cart,2023,5
Browse_3563,P00012,Orange Running Shoes One Size,5,2022-08-12,45.43,C00007,Canada,S20220812_C00007_1365,Browse,2022,8
Browse_6413,P00045,Pink Leather Wallet M,2,2022-08-17,91.33,C00007,Canada,S20220817_C00007_1485,Browse,2022,8
Browse_8333,P00090,Black Water Bottle XXL,4,2022-08-28,92.9,C00007,Canada,S20220828_C00007_6665,Browse,2022,8
INV10228,P00052,White Backpack S,2,2022-09-11,30.04,C00007,Canada,S20220911_C00007_8280,Purchase,2022,9
Browse_9076,P00062,Pink Smart Watch M,3,2022-09-11,189.1,C00007,Canada,S20220911_C00007_8075,Browse,2022,9
View_8367,P00047,White Backpack One Size,5,2022-09-13,43.49,C00007,Canada,S20220913_C00007_5297,View,2022,9
Browse_2916,P00090,Black Water Bottle XXL,5,2022-09-30,92.9,C00007,Canada,S20220930_C00007_6569,Browse,2022,9
Cart_9980,P00017,Purple Wireless Earbuds XXL,1,2022-10-02,43.44,C00007,Canada,S20221002_C00007_1008,Cart,2022,10
Browse_6557,P00035,Black Sunglasses XXL,3,2022-10-16,127.6,C00007,Canada,S20221016_C00007_2901,Browse,2022,10
Browse_3111,P00075,Purple Water Bottle S,3,2022-10-19,116.62,C00007,Canada,S20221019_C00007_9437,Browse,2022,10
Browse_7237,P00004,Orange Protein Powder XL,3,2022-10-21,106.22,C00007,Canada,S20221021_C00007_3635,Browse,2022,10
Checkout_4818,P00036,White Protein Powder One Size,3,2022-11-03,16.68,C00007,Canada,S20221103_C00007_4621,Checkout,2022,11
View_1763,P00018,White Smart Watch XL,2,2022-11-30,79.98,C00007,Canada,S20221130_C00007_2121,View,2022,11
Cart_956,P00047,White Backpack One Size,2,2022-12-23,43.49,C00007,Canada,S20221223_C00007_1004,Cart,2022,12
Browse_584,P00007,Pink Protein Powder XL,5,2023-01-03,124.82,C00007,Canada,S20230103_C00007_3503,Browse,2023,1
View_9051,P00069,Pink Protein Powder One Size,3,2023-03-14,156.57,C00007,Canada,S20230314_C00007_6684,View,2023,3
Cart_1433,P00078,Purple Sunglasses XL,5,2023-03-25,130.04,C00007,Canada,S20230325_C00007_6556,Cart,2023,3
View_6132,P00007,Pink Protein Powder XL,3,2023-03-26,124.82,C00007,Canada,S20230326_C00007_6589,View,2023,3
Checkout_8794,P00070,White Sunglasses S,4,2022-08-20,127.35,C00008,Germany,S20220820_C00008_7954,Checkout,2022,8
Browse_4142,P00058,Blue Leather Wallet M,5,2022-09-20,30.48,C00008,Germany,S20220920_C00008_7331,Browse,2022,9
View_1430,P00091,Yellow Laptop Sleeve S,2,2022-09-25,110.16,C00008,Germany,S20220925_C00008_2933,View,2022,9
Browse_8600,P00018,White Smart Watch XL,5,2022-10-04,79.98,C00008,Germany,S20221004_C00008_1529,Browse,2022,10
INV10232,P00052,White Backpack S,2,2022-10-07,30.04,C00008,Germany,S20221007_C00008_9282,Purchase,2022,10
View_5714,P00096,Yellow Backpack One Size,5,2022-10-09,152.36,C00008,Germany,S20221009_C00008_9156,View,2022,10
View_7329,P00033,Purple Summer Dress XL,4,2022-10-10,114.0,C00008,Germany,S20221010_C00008_4479,View,2022,10
Checkout_6643,P00033,Purple Summer Dress XL,3,2022-10-13,114.0,C00008,Germany,S20221013_C00008_1094,Checkout,2022,10
Browse_9206,P00060,Purple Smart Watch M,4,2022-10-14,161.73,C00008,Germany,S20221014_C00008_4328,Browse,2022,10
INV10187,P00038,Red Cotton Socks L,2,2022-10-16,105.73,C00008,Germany,S20221016_C00008_9622,Purchase,2022,10
View_9342,P00041,Green Water Bottle S,5,2022-10-20,159.28,C00008,Germany,S20221020_C00008_9611,View,2022,10
Browse_7090,P00068,Yellow Water Bottle XS,4,2022-10-24,41.09,C00008,Germany,S20221024_C00008_5939,Browse,2022,10
INV10203,P00008,White Laptop Sleeve One Size,3,2022-11-11,186.92,C00008,Germany,S20221111_C00008_5058,Purchase,2022,11
INV10341,P00008,White Laptop Sleeve One Size,4,2022-11-17,186.92,C00008,Germany,S20221117_C00008_3821,Purchase,2022,11
View_3978,P00007,Pink Protein Powder XL,5,2023-01-04,124.82,C00008,Germany,S20230104_C00008_8152,View,2023,1
Cart_9079,P00007,Pink Protein Powder XL,4,2023-01-26,124.82,C00008,Germany,S20230126_C00008_5215,Cart,2023,1
View_5527,P00063,White Cotton Socks S,5,2022-07-29,73.89,C00009,Italy,S20220729_C00009_4413,View,2022,7
Browse_9729,P00072,Green Premium T-shirt One Size,4,2022-08-15,128.98,C00009,Italy,S20220815_C00009_2318,Browse,2022,8
Cart_2352,P00093,Purple Yoga Mat XXL,3,2022-08-27,182.72,C00009,Italy,S20220827_C00009_6253,Cart,2022,8
Checkout_4033,P00018,White Smart Watch XL,5,2022-09-07,79.98,C00009,Italy,S20220907_C00009_4477,Checkout,2022,9
View_2055,P00064,Orange Cotton Socks XL,4,2022-09-09,71.6,C00009,Italy,S20220909_C00009_1444,View,2022,9
Browse_4356,P00066,Purple Protein Powder L,4,2022-09-20,80.81,C00009,Italy,S20220920_C00009_9477,Browse,2022,9
Browse_9743,P00099,Grey Leather Wallet One Size,2,2022-09-20,135.12,C00009,Italy,S20220920_C00009_3634,Browse,2022,9
Browse_4629,P00087,Blue Classic Jeans XL,1,2022-09-21,80.46,C00009,Italy,S20220921_C00009_6136,Browse,2022,9
Browse_9975,P00011,Pink Yoga Mat XXL,4,2022-09-24,146.18,C00009,Italy,S20220924_C00009_5852,Browse,2022,9
Browse_7925,P00004,Orange Protein Powder XL,4,2022-10-08,106.22,C00009,Italy,S20221008_C00009_6312,Browse,2022,10
Browse_9337,P00029,Red Cotton Socks XXL,1,2022-10-19,133.04,C00009,Italy,S20221019_C00009_1932,Browse,2022,10
Cart_8034,P00049,Orange Smart Watch L,5,2022-11-10,29.67,C00009,Italy,S20221110_C00009_7023,Cart,2022,11
Browse_5949,P00097,Orange Backpack S,3,2022-12-05,99.86,C00009,Italy,S20221205_C00009_1167,Browse,2022,12
Checkout_7426,P00084,Grey Laptop Sleeve XS,4,2022-12-12,8.99,C00009,Italy,S20221212_C00009_8472,Checkout,2022,12
View_578,P00077,Pink Yoga Mat M,3,2023-01-03,190.68,C00009,Italy,S20230103_C00009_9430,View,2023,1
Checkout_8984,P00088,Green Smart Watch XL,1,2023-01-04,143.69,C00009,Italy,S20230104_C00009_1366,Checkout,2023,1
INV10286,P00033,Purple Summer Dress XL,5,2023-03-11,114.0,C00009,Italy,S20230311_C00009_2824,Purchase,2023,3
Browse_9191,P00085,Pink Premium T-shirt S,1,2023-04-02,116.31,C00009,Italy,S20230402_C00009_7072,Browse,2023,4
View_7862,P00007,Pink Protein Powder XL,3,2023-04-26,124.82,C00009,Italy,S20230426_C00009_6739,View,2023,4
Checkout_1877,P00014,Pink Classic Jeans L,4,2023-05-30,194.78,C00009,Italy,S20230530_C00009_2231,Checkout,2023,5
Cart_764,P00015,Grey Cotton Socks XXL,1,2023-06-25,94.8,C00009,Italy,S20230625_C00009_2647,Cart,2023,6
Browse_8512,P00071,Orange Backpack M,1,2022-08-02,57.56,C00010,France,S20220802_C00010_5266,Browse,2022,8
Browse_2340,P00075,Purple Water Bottle S,2,2022-09-03,116.62,C00010,France,S20220903_C00010_2021,Browse,2022,9
Cart_9683,P00071,Orange Backpack M,2,2022-09-12,57.56,C00010,France,S20220912_C00010_2568,Cart,2022,9
Browse_3694,P00039,Yellow Protein Powder One Size,5,2022-09-16,107.47,C00010,France,S20220916_C00010_1016,Browse,2022,9
View_2854,P00033,Purple Summer Dress XL,3,2022-10-07,114.0,C00010,France,S20221007_C00010_9990,View,2022,10
Browse_4894,P00064,Orange Cotton Socks XL,1,2022-10-07,71.6,C00010,France,S20221007_C00010_5879,Browse,2022,10
Browse_2787,P00092,Grey Classic Jeans XL,3,2022-11-28,89.57,C00010,France,S20221128_C00010_6831,Browse,2022,11
Checkout_1413,P00075,Purple Water Bottle S,4,2023-01-28,116.62,C00010,France,S20230128_C00010_4559,Checkout,2023,1
Cart_9490,P00025,White Protein Powder XS,3,2023-02-27,138.6,C00010,France,S20230227_C00010_6522,Cart,2023,2
Browse_8265,P00052,White Backpack S,2,2023-03-20,30.04,C00010,France,S20230320_C00010_7440,Browse,2023,3
Browse_7989,P00025,White Protein Powder XS,5,2023-04-09,138.6,C00010,France,S20230409_C00010_8754,Browse,2023,4
View_8365,P00016,Purple Sunglasses M,5,2023-05-29,71.99,C00010,France,S20230529_C00010_7874,View,2023,5
Cart_5029,P00028,Yellow Sunglasses L,3,2023-06-17,182.55,C00010,France,S20230617_C00010_8721,Cart,2023,6
Browse_4846,P00029,Red Cotton Socks XXL,3,2022-07-04,133.04,C00011,UK,S20220704_C00011_4834,Browse,2022,7
Browse_6776,P00057,White Backpack L,1,2022-07-16,165.97,C00011,UK,S20220716_C00011_9231,Browse,2022,7
Checkout_5074,P00035,Black Sunglasses XXL,3,2022-07-18,127.6,C00011,UK,S20220718_C00011_1107,Checkout,2022,7
Cart_2997,P00060,Purple Smart Watch M,5,2022-07-20,161.73,C00011,UK,S20220720_C00011_7562,Cart,2022,7
Browse_1161,P00097,Orange Backpack S,5,2022-10-26,99.86,C00011,UK,S20221026_C00011_3759,Browse,2022,10
Browse_5487,P00027,Grey Protein Powder M,2,2022-11-23,13.74,C00011,UK,S20221123_C00011_9634,Browse,2022,11
View_2235,P00047,White Backpack One Size,3,2023-01-31,43.49,C00011,UK,S20230131_C00011_5520,View,2023,1
Browse_2903,P00025,White Protein Powder XS,4,2023-03-14,138.6,C00011,UK,S20230314_C00011_6381,Browse,2023,3
View_4429,P00001,Orange Sunglasses XXL,1,2023-03-14,117.64,C00011,UK,S20230314_C00011_8614,View,2023,3
View_1172,P00087,Blue Classic Jeans XL,3,2023-03-16,80.46,C00011,UK,S20230316_C00011_7060,View,2023,3
Browse_8571,P00052,White Backpack S,4,2023-04-04,30.04,C00011,UK,S20230404_C00011_3154,Browse,2023,4
Browse_6937,P00013,Black Leather Wallet M,3,2023-04-10,155.73,C00011,UK,S20230410_C00011_7602,Browse,2023,4
View_8339,P00026,Blue Classic Jeans One Size,3,2023-04-11,138.12,C00011,UK,S20230411_C00011_4718,View,2023,4
Browse_8475,P00062,Pink Smart Watch M,1,2023-05-09,189.1,C00011,UK,S20230509_C00011_3784,Browse,2023,5
View_513,P00099,Grey Leather Wallet One Size,3,2023-05-16,135.12,C00011,UK,S20230516_C00011_3832,View,2023,5
Checkout_4436,P00044,Pink Winter Jacket XS,4,2022-07-03,37.04,C00012,USA,S20220703_C00012_4773,Checkout,2022,7
View_6235,P00059,Red Premium T-shirt M,1,2022-07-08,199.14,C00012,USA,S20220708_C00012_7823,View,2022,7
Browse_7102,P00088,Green Smart Watch XL,4,2022-07-09,143.69,C00012,USA,S20220709_C00012_5257,Browse,2022,7
INV10328,P00006,Black Classic Jeans XS,3,2022-07-31,172.34,C00012,USA,S20220731_C00012_6114,Purchase,2022,7
View_7277,P00098,Pink Laptop Sleeve One Size,5,2022-08-07,19.75,C00012,USA,S20220807_C00012_2940,View,2022,8
Browse_5620,P00071,Orange Backpack M,4,2022-08-09,57.56,C00012,USA,S20220809_C00012_4272,Browse,2022,8
View_9477,P00018,White Smart Watch XL,5,2022-10-09,79.98,C00012,USA,S20221009_C00012_2475,View,2022,10
View_8633,P00024,White Winter Jacket XS,4,2023-01-01,189.66,C00012,USA,S20230101_C00012_9163,View,2023,1
View_285,P00059,Red Premium T-shirt M,5,2023-02-11,199.14,C00012,USA,S20230211_C00012_9798,View,2023,2
View_2929,P00011,Pink Yoga Mat XXL,1,2023-03-22,146.18,C00012,USA,S20230322_C00012_3450,View,2023,3
Browse_5822,P00018,White Smart Watch XL,4,2023-04-28,79.98,C00012,USA,S20230428_C00012_2302,Browse,2023,4
View_5836,P00024,White Winter Jacket XS,2,2022-02-25,189.66,C00013,Australia,S20220225_C00013_6522,View,2022,2
INV10010,P00020,Grey Water Bottle S,4,2022-03-04,118.98,C00013,Australia,S20220304_C00013_8931,Purchase,2022,3
Cart_4882,P00078,Purple Sunglasses XL,4,2022-03-08,130.04,C00013,Australia,S20220308_C00013_9579,Cart,2022,3
Browse_5483,P00099,Grey Leather Wallet One Size,2,2022-05-26,135.12,C00013,Australia,S20220526_C00013_4565,Browse,2022,5
View_4452,P00086,Red Leather Wallet XXL,3,2022-08-13,123.12,C00013,Australia,S20220813_C00013_9582,View,2022,8
INV10016,P00008,White Laptop Sleeve One Size,2,2022-09-14,186.92,C00013,Australia,S20220914_C00013_7081,Purchase,2022,9
Browse_2272,P00035,Black Sunglasses XXL,3,2022-09-22,127.6,C00013,Australia,S20220922_C00013_5106,Browse,2022,9
Browse_895,P00044,Pink Winter Jacket XS,2,2022-12-16,37.04,C00013,Australia,S20221216_C00013_9865,Browse,2022,12
Cart_153,P00037,Blue Leather Wallet XS,4,2022-12-19,54.31,C00013,Australia,S20221219_C00013_9793,Cart,2022,12
Browse_8154,P00028,Yellow Sunglasses L,2,2023-01-10,182.55,C00013,Australia,S20230110_C00013_5772,Browse,2023,1
Cart_4377,P00000,Black Protein Powder XXL,5,2023-01-12,188.5,C00013,Australia,S20230112_C00013_1154,Cart,2023,1
View_4898,P00024,White Winter Jacket XS,4,2023-02-11,189.66,C00013,Australia,S20230211_C00013_9672,View,2023,2
Cart_217,P00086,Red Leather Wallet XXL,2,2023-02-24,123.12,C00013,Australia,S20230224_C00013_7230,Cart,2023,2
INV10335,P00061,Blue Backpack M,3,2023-02-24,162.45,C00013,Australia,S20230224_C00013_6848,Purchase,2023,2
Cart_8565,P00008,White Laptop Sleeve One Size,3,2023-04-16,186.92,C00013,Australia,S20230416_C00013_5717,Cart,2023,4
Checkout_4049,P00025,White Protein Powder XS,4,2023-04-22,138.6,C00013,Australia,S20230422_C00013_8449,Checkout,2023,4
Cart_7761,P00058,Blue Leather Wallet M,3,2023-05-26,30.48,C00013,Australia,S20230526_C00013_6209,Cart,2023,5
Browse_1635,P00040,Grey Sunglasses One Size,2,2022-08-23,32.45,C00014,Italy,S20220823_C00014_9066,Browse,2022,8
Browse_4156,P00038,Red Cotton Socks L,1,2022-08-23,105.73,C00014,Italy,S20220823_C00014_5625,Browse,2022,8
Browse_6336,P00004,Orange Protein Powder XL,3,2022-08-26,106.22,C00014,Italy,S20220826_C00014_2623,Browse,2022,8
View_9219,P00033,Purple Summer Dress XL,1,2022-09-02,114.0,C00014,Italy,S20220902_C00014_7799,View,2022,9
Browse_2310,P00019,Orange Classic Jeans XXL,5,2022-09-03,31.03,C00014,Italy,S20220903_C00014_8488,Browse,2022,9
Browse_640,P00088,Green Smart Watch XL,2,2022-09-05,143.69,C00014,Italy,S20220905_C00014_7218,Browse,2022,9
Browse_720,P00056,Orange Wireless Earbuds One Size,4,2022-09-07,168.47,C00014,Italy,S20220907_C00014_7102,Browse,2022,9
View_616,P00072,Green Premium T-shirt One Size,3,2022-09-09,128.98,C00014,Italy,S20220909_C00014_6796,View,2022,9
View_6639,P00000,Black Protein Powder XXL,3,2022-09-09,188.5,C00014,Italy,S20220909_C00014_9698,View,2022,9
INV10106,P00070,White Sunglasses S,5,2022-09-12,127.35,C00014,Italy,S20220912_C00014_1008,Purchase,2022,9
Browse_2054,P00061,Blue Backpack M,1,2022-09-18,162.45,C00014,Italy,S20220918_C00014_9474,Browse,2022,9
Cart_3615,P00043,Grey Laptop Sleeve XL,3,2022-09-18,8.26,C00014,Italy,S20220918_C00014_9891,Cart,2022,9
View_4309,P00054,Pink Water Bottle XL,2,2022-09-19,106.1,C00014,Italy,S20220919_C00014_2277,View,2022,9
Browse_6014,P00028,Yellow Sunglasses L,5,2022-09-19,182.55,C00014,Italy,S20220919_C00014_6401,Browse,2022,9
Cart_9220,P00085,Pink Premium T-shirt S,4,2022-09-20,116.31,C00014,Italy,S20220920_C00014_9864,Cart,2022,9
View_6045,P00029,Red Cotton Socks XXL,1,2022-09-21,133.04,C00014,Italy,S20220921_C00014_2052,View,2022,9
Browse_5660,P00081,Pink Wireless Earbuds XS,1,2022-06-21,123.96,C00015,Spain,S20220621_C00015_5468,Browse,2022,6
Checkout_9839,P00056,Orange Wireless Earbuds One Size,5,2022-07-10,168.47,C00015,Spain,S20220710_C00015_6532,Checkout,2022,7
Cart_8169,P00026,Blue Classic Jeans One Size,2,2022-07-15,138.12,C00015,Spain,S20220715_C00015_3091,Cart,2022,7
